nurses,doctors,cost,avg_wait
1,1,960,100.29116082900687
1,2,1560,59.217043892618946
1,3,2160,133.70904730758707
1,4,2760,73.46698208355069
1,5,3360,107.5230541477402
2,1,1320,182.68719927813302
2,2,1920,11.260443464983556
2,3,2520,13.451211147453073
2,4,3120,7.826941829085079
2,5,3720,9.822876324911142
3,1,1680,214.90554406595186
3,2,2280,10.748237230840408
3,3,2880,6.494221282411188
3,4,3480,8.64419895608656
3,5,4080,6.0302007123638095
4,1,2040,100.94997149646203
4,2,2640,16.883033735974852
4,3,3240,7.4440479939037
4,4,3840,5.989946162325295
4,5,4440,5.859677726996664
5,1,2400,164.64782420579655
5,2,3000,12.778861300764836
5,3,3600,8.231670324410718
5,4,4200,6.1559613152716395
5,5,4800,6.476633287045473
